"Sample","Total_Cells","Doublets_Found","Ambiguous_Found","Singlets_Retained","Cells_in_Singlets_RDS","Percent_Doublet","Percent_Ambiguous","Ambiguous_Score_Lo","Ambiguous_Score_Hi","DBR_Used","Cells_Loaded_Used","Cells_Recovered_Used","DBR_Source"
"control_G7_harmonized",22525,2530,439,19556,19995,11.23,1.95,0.293542074363992,0.336594911937378,0.0901,NA,22525,"TENX_V4_TABLE_FROM_FILTERED_CELLS"
"control_TTC21B_harmonized",22035,2723,344,18968,19312,12.36,1.56,0.397260273972603,0.430528375733855,0.08814,NA,22035,"TENX_V4_TABLE_FROM_FILTERED_CELLS"
"d10_1016_j_cell_2020_04_004_harmonized",22363,3886,1440,17037,18477,17.38,6.44,0.346379647749511,0.403131115459883,0.162541,NA,22363,"TENX_V3_TABLE_FROM_FILTERED_CELLS"
"d10_1016_j_celrep_2020_108514_harmonized",35954,3153,1509,31292,32801,8.77,4.2,0.438356164383562,0.504892367906067,0.0721477383323135,NA,35954,"TENX_5P_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1016_j_cmet_2022_04_009_harmonized",11565,1182,564,9819,10383,10.22,4.88,0.362035225048924,0.420743639921722,0.086955,NA,11565,"TENX_V3_TABLE_FROM_FILTERED_CELLS"
"d10_1016_j_devcel_2019_06_001_harmonized",7971,318,559,7094,7653,3.99,7.01,0.426614481409002,0.557729941291585,0.0194982019821854,NA,7971,"TENX_V2_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1016_j_stem_2018_04_022_harmonized",5965,402,211,5352,5563,6.74,3.54,0.481409001956947,0.532289628180039,0.049,NA,5965,"PLATFORM_DEFAULT_DROPSEQ"
"d10_1016_j_stem_2018_10_010_harmonized",81495,4926,4974,71595,76569,6.04,6.1,0.424657534246575,0.522504892367906,0.049,NA,81495,"PLATFORM_DEFAULT_DROPSEQ"
"d10_1016_j_stem_2019_06_009_harmonized",63922,4954,11698,47270,58968,7.75,18.3,0.326810176125245,0.530332681017613,0.118792450017208,NA,63922,"TENX_V2_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1016_j_stem_2021_11_001_harmonized",24781,1203,1543,22035,23578,4.85,6.23,0.354207436399217,0.434442270058708,0.029328838464953,NA,24781,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1016_j_stem_2021_12_010_harmonized",24398,2176,1247,20975,22222,8.92,5.11,0.340508806262231,0.401174168297456,0.0917072224772522,NA,24398,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1016_j_stem_2022_06_005_harmonized",37884,1855,5925,30104,36029,4.9,15.64,0.326810176125245,0.542074363992172,0.0681004877256889,NA,37884,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1038_s41467_019_13382_0_harmonized",291912,16886,96753,178273,275026,5.78,33.14,0.221135029354207,0.536203522504892,0.257423769827893,NA,291912,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1038_s41467_022_33623_z_harmonized",43718,5674,7433,30611,38044,12.98,17,0.403131115459883,0.667318982387475,0.123956643579304,NA,43718,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1038_s41551_025_01542_1_harmonized",20949,1901,1553,17495,19048,9.07,7.41,0.36986301369863,0.450097847358121,0.0812273998281541,NA,20949,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1038_s41563_020_00853_9_harmonized",17714,2942,453,14319,14772,16.61,2.56,0.450097847358121,0.487279843444227,0.129998,NA,17714,"TENX_V3_TABLE_FROM_FILTERED_CELLS"
"d10_1038_s41592_018_0253_2_harmonized",8425,538,401,7486,7887,6.39,4.76,0.510763209393346,0.575342465753425,0.0468327643916914,NA,8425,"TENX_V2_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1038_s42003_024_07069_6_harmonized",29766,1519,3928,24319,28247,5.1,13.2,0.24853228962818,0.377690802348337,0.0468172363098838,NA,29766,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1101_505396_harmonized",2467,104,56,2307,2363,4.22,2.27,0.692759295499021,0.737769080234834,0.019269,NA,2467,"TENX_V2_TABLE_FROM_FILTERED_CELLS"
"d10_1126_sciadv_abj5633_GSE165104_harmonized",342468,13556,57962,270950,328912,3.96,16.92,0.338551859099804,0.749510763209393,0.109234196876788,NA,342468,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
"d10_1172_jci_insight_122697_harmonized",15936,826,1370,13740,15110,5.18,8.6,0.448140900195695,0.567514677103718,0.049,NA,15936,"PLATFORM_DEFAULT_DROPSEQ"
"d10_1242_dev_200198_harmonized",7484,609,205,6670,6875,8.14,2.74,0.481409001956947,0.526418786692759,0.057388,NA,7484,"TENX_V3_TABLE_FROM_FILTERED_CELLS"
"dno_doi_kidney_organoid_GSE312980_harmonized",5797,391,268,5138,5406,6.74,4.62,0.340508806262231,0.383561643835616,0.07,NA,5797,"PLATFORM_DEFAULT_PIPSEQ"
"dno_doi_kidney_organoid_LMRH_harmonized",64474,6811,4409,53254,57663,10.56,6.84,0.293542074363992,0.399217221135029,0.0843747366225145,NA,64474,"TENX_V3_TABLE_PER_BATCH_FILTERED_CELLS"
