"sample","algo_nCount_lower","algo_nFeature_lower","algo_mito_upper","median_inflation_ratio","cells_raw","cells_filtered","cells_removed","pct_cells_removed","genes_raw","genes_filtered","median_nCount_raw","median_nCount_filtered","mean_nCount_raw","mean_nCount_filtered","max_nCount_raw","max_nCount_filtered","cutoff_nCount_lower","cutoff_nCount_upper","median_nFeature_raw","median_nFeature_filtered","mean_nFeature_raw","mean_nFeature_filtered","max_nFeature_raw","max_nFeature_filtered","cutoff_nFeature_lower","cutoff_nFeature_upper","median_pct_mito_raw","median_pct_mito_filtered","mean_pct_mito_raw","mean_pct_mito_filtered","max_pct_mito_raw","max_pct_mito_filtered","cutoff_mito_lower","cutoff_mito_upper","median_pct_ribo_raw","median_pct_ribo_filtered","mean_pct_ribo_raw","mean_pct_ribo_filtered","max_pct_ribo_raw","max_pct_ribo_filtered","cutoff_ribo_lower","cutoff_ribo_upper"
"control_G7_harmonized_singlets","manual_8000","manual_3000","manual_15",1.14,19995,15670,4325,21.6,24100,24100,20525,23393,23128.62,27310.51,250652,133744,8000,160000,5519,5853.5,5071.87,6007.8,12637,10237,3000,10238.12,1.36,1.38,2.41,1.53,89.52,13.91,0,15,9.37,10.09,10.03,10.86,56.38,30.59,0,Inf
"control_TTC21B_harmonized_singlets","manual_8000","manual_3000","manual_15",1.09,19312,16445,2867,14.8,24100,24100,21527.5,23436,25504.01,28126.91,253352,123268,8000,160000,5680,5929,5499.62,6130.06,12336,10419,3000,10425.8,1.11,1.11,1.92,1.21,93.85,14.83,0,15,9.34,9.6,9.7,10.03,53.12,34.26,0,Inf
"d10_1016_j_cell_2020_04_004_harmonized_singlets","manual_3000","manual_1600","renyi",1.08,18477,14709,3768,20.4,24100,24100,7000,7581,7307.54,8088.02,39103,16860,3000,16865.22,2743,2875,2616.88,2933.62,7049,5029,1600,5109.23,6.68,6.62,9.07,6.82,80.3,16.2,0,16.25,18.67,19.7,17.91,19.27,64.17,36.04,0,Inf
"d10_1016_j_celrep_2020_108514_harmonized_singlets","none","none","manual_15",1,32801,32703,98,0.3,24100,24100,3910,3910,4562.85,4562.11,19410,19410,-Inf,Inf,1658,1658,1775.35,1775.14,3771,3771,-Inf,Inf,5.93,5.92,6.15,6.13,15.97,15,0,15,26.4,26.42,26.28,26.3,57.18,57.18,0,Inf
"d10_1016_j_cmet_2022_04_009_harmonized_singlets","manual_500","lower_tri","renyi",1.01,10383,9858,525,5.1,24100,24100,4154,4188,4924.64,4723.69,53721,18283,500,22000,2021,2034,2081.46,2067.23,8229,4840,425,4845.35,4.51,4.45,5.17,4.73,68.67,16.29,0,16.3,15.49,15.61,16.3,16.53,44.2,44.2,0,Inf
"d10_1016_j_devcel_2019_06_001_harmonized_singlets","manual_2300","lower_tri","renyi",1,7653,7339,314,4.1,24100,24100,7088,7062,8256.78,7882.21,81739,21971,2300,22000,2145,2139,2281.5,2242.42,7727,4703,1210,5000,2.54,2.52,2.61,2.53,19.89,6.42,0,6.45,31.37,31.48,30.06,30.12,66.48,56.65,0,Inf
"d10_1016_j_stem_2018_04_022_harmonized_singlets","manual_400","lower_tri","renyi",1.02,5563,5401,162,2.9,24100,24100,1240,1263,1715.79,1725.02,39130,17865,400,22000,824,832,990.65,1001.94,6936,4990,350,5000,3.58,3.54,3.91,3.69,45.6,8.7,0,8.7,15.66,15.76,16.27,16.42,48.7,48.7,0,Inf
"d10_1016_j_stem_2018_10_010_harmonized_singlets","manual_500","manual_400","renyi",0.99,76569,75732,837,1.1,24100,24100,1349,1341,1750.85,1679.76,37869,8000,500,8000,879,875,1022.61,1000.36,7395,2997,400,3000,2.67,2.66,3.05,3.01,43.96,14.48,0,14.5,15.32,15.35,15.53,15.56,54.36,54.36,0,Inf
"d10_1016_j_stem_2019_06_009_harmonized_singlets","manual_3000","lower_tri","renyi",1,58968,55490,3478,5.9,24100,24100,10126,10155,11557.37,11160.72,92314,35367,3000,36000,2767,2772,2934.13,2904.73,8698,5000,1725,5000,2.17,2.17,2.28,2.27,31.5,7.74,0,7.75,37.76,37.68,37.8,37.69,72.7,59.38,0,Inf
"d10_1016_j_stem_2021_11_001_harmonized_singlets","manual_1800","lower_tri","renyi",0.99,23578,22809,769,3.3,24100,24100,5943.5,5910,7141.5,6788.13,77669,21977,1800,22000,2133,2125,2333.65,2284.93,8609,4995,1125,5000,2.88,2.86,3.09,3.01,63.61,10.26,0,10.3,28.41,28.45,28.1,28.15,71.79,54.22,0,Inf
"d10_1016_j_stem_2021_12_010_harmonized_singlets","manual_500","lower_tri","manual_15",1.26,22222,19205,3017,13.6,24100,24100,2760,3472,5269.18,5462.7,153952,34704,500,60000,1185,1379,1528.18,1612.51,8792,4525,275,4538.64,2.9,2.45,8.3,3.39,96.4,15,0,15,27.39,29.13,26.97,28.63,66.82,66.82,0,Inf
