prototype_label	Level_3_Integrated
Activated Fibroblasts	Activated Fibroblasts
Collecting_duct	Collecting_duct
Collecting_duct_Intercalated_cells	Pericytes
Collecting_duct_Principal_cells	Nephron_progenitor_cells
DT	DT
Dev_DT	Endodermal_cells
Dev_PT	Proliferative_tubule
Early_endothelium	Early_endothelium
Endodermal_cells	Muscle_progenitor_cells
Glial_cells	Neural_progenitor_cells
Interstitial_Fibroblasts	Interstitial_Fibroblasts
LOH	LOH
Mature_podocytes	Mature_podocytes
Mesangial_cells	Mesangial_cells
Muscle_progenitor_cells	Muscle_progenitor_cells
Nephron_progenitor_cells	Nephron_progenitor_cells
Neural_progenitor_cells	Neural_progenitor_cells
Off_target_cells	Endodermal_cells
PT	PT
PT (PEC-like)	Dev_PT
Pericytes	Pericytes
Podocytes	PT
Precursor_podocytes	Mature_podocytes
Proliferative_stroma	Proliferative_stroma
Proliferative_tubule	Proliferative_tubule
Stromal_progenitors	Stromal_progenitors
undifferentiated_pluripotent_cells	undifferentiated_pluripotent_cells
