data_path,file_prefix,sample_id,output_dir,study,source,diff_protocol,sc_protocol,sequencing,genome_build,Age,type,disease,condition
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_cell_2020_04_004/GSE147863_RAW/GSM4447249_KidneyOrganoid_FilteredGeneBCMatrices.h5,,GSM4447249,d10_1016_j_cell_2020_04_004,d10_1016_j_cell_2020_04_004,hiPSC,Morizane_modified,10x_3_v3,Illumina_NextSeq_500,hg38,d16,scRNAseq,Control,WT
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_cmet_2022_04_009/GSE181002_RAW/GSM5481909_5mM_Mock_filtered_feature_bc_matrix.h5,,GSM5481909,d10_1016_j_cmet_2022_04_009,d10_1016_j_cmet_2022_04_009,hiPSC,Morizane_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d16,scRNAseq,Control,5mM_Mock
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s41551_025_01542_1/GSE229433_RAW/GSM7163470_filtered_feature_bc_matrix_05K.h5,,GSM7163470,d10_1038_s41551_025_01542_1,d10_1038_s41551_025_01542_1,hPSC,Garreta_suspension,10x_3_v3,Illumina_NextSeq_500,hg38,d16,scRNAseq,Control,05K
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s41551_025_01542_1/GSE229433_RAW/GSM7163471_filtered_feature_bc_matrix_250K.h5,,GSM7163471,d10_1038_s41551_025_01542_1,d10_1038_s41551_025_01542_1,hPSC,Garreta_suspension,10x_3_v3,Illumina_NextSeq_500,hg38,d16,scRNAseq,Control,250K
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507784_3D_day21_1_filtered_gene_bc_matrices_h5.h5,,GSM5507784,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d21,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507785_3D_day21_2_filtered_gene_bc_matrices_h5.h5,,GSM5507785,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d21,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507786_3D_day28_1_filtered_gene_bc_matrices_h5.h5,,GSM5507786,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d28,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507787_3D_day28_2_filtered_gene_bc_matrices_h5.h5,,GSM5507787,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d28,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507788_3D_day28_3_filtered_gene_bc_matrices_h5.h5,,GSM5507788,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d28,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507789_3D_day35_1_filtered_gene_bc_matrices_h5.h5,,GSM5507789,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d35,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_11_001/GSE181595_RAW/GSM5507790_3D_day35_2_filtered_gene_bc_matrices_h5.h5,,GSM5507790,d10_1016_j_stem_2021_11_001,d10_1016_j_stem_2021_11_001,hiPSC,Takasato_modified,10x_3_v3,Illumina_HiSeq_2500,hg38,d35,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_12_010/GSE167747_RAW,GSM5112197_KR01_,GSM5112197,d10_1016_j_stem_2021_12_010,d10_1016_j_stem_2021_12_010,iPSC,Morizane_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d16,scRNAseq,Control,KR01
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1016_j_stem_2021_12_010/GSE167747_RAW,GSM5112198_KR02_,GSM5112198,d10_1016_j_stem_2021_12_010,d10_1016_j_stem_2021_12_010,iPSC,Morizane_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d16,scRNAseq,Control,KR02
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s42003_024_07069_6/GSE263556_RAW,GSM8194405_d15_kidney_organoids_,GSM8194405,d10_1038_s42003_024_07069_6,d10_1038_s42003_024_07069_6,hiPSC,Takasato_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d15,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s42003_024_07069_6/GSE263556_RAW,GSM8194406_d19_kidney_organoids_,GSM8194406,d10_1038_s42003_024_07069_6,d10_1038_s42003_024_07069_6,hiPSC,Takasato_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d19,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s42003_024_07069_6/GSE263556_RAW,GSM8194407_d23_kidney_organoids_,GSM8194407,d10_1038_s42003_024_07069_6,d10_1038_s42003_024_07069_6,hiPSC,Takasato_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d23,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s42003_024_07069_6/GSE263556_RAW,GSM8194408_d27_kidney_organoids_,GSM8194408,d10_1038_s42003_024_07069_6,d10_1038_s42003_024_07069_6,hiPSC,Takasato_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d27,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1038_s42003_024_07069_6/GSE263556_RAW,GSM8194409_d31_kidney_organoids_,GSM8194409,d10_1038_s42003_024_07069_6,d10_1038_s42003_024_07069_6,hiPSC,Takasato_modified,10x_3_v3,Illumina_NovaSeq_6000,hg38,d31,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026212_L417_83_,GSM5026212,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d0,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026213_L417_84_,GSM5026213,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d0,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026214_L417_85_,GSM5026214,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d0,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026215_L417_86_,GSM5026215,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d7,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026216_L417_87_,GSM5026216,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d7,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026217_L417_88_,GSM5026217,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d7,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026218_L417_91_,GSM5026218,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d10,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026219_L417_92_,GSM5026219,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d10,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026220_L417_93_,GSM5026220,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d10,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026221_L417_94_,GSM5026221,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d12,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026222_L417_95_,GSM5026222,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d12,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026223_L417_96_,GSM5026223,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d12,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026224_L417_97_,GSM5026224,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d14,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026225_L417_98_,GSM5026225,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d14,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026226_L417_99_,GSM5026226,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d14,scRNAseq,Control,
/data-master/pure-workspace/labss/hmami/new_data/data/d10_1126_sciadv_abj5633_GSE165104/GSE165104_RAW,GSM5026227_L417_100_,GSM5026227,d10_1126_sciadv_abj5633/GSE165104,d10_1126_sciadv_abj5633,iPSC,Modified_APEL2,10x_3_v3,Illumina_HiSeq_2500,hg38,d24,scRNAseq,Control,
